File Name,Area,Perimeter,Hu Moment 1,Hu Moment 2,Hu Moment 3,Hu Moment 4,Hu Moment 5,Hu Moment 6,Hu Moment 7,Label
0377.jpg,27084.5,702.1736620664597,0.1794941180228596,0.00474448997018759,0.0002546553054764181,1.0946693416952887e-05,2.666968593261217e-10,5.442385506330346e-07,-5.127525562996691e-10,3
0257.jpg,30072.0,684.9015827178955,0.16736962573569936,0.0020395230399874063,6.611420320770417e-05,1.2045875873738757e-06,2.7517453621726166e-12,1.590849621485912e-08,-1.0391753095343713e-11,3
0262.jpg,30326.0,736.4507912397385,0.18299459292504103,0.005306853517390239,0.00027937654026009417,2.9446418939760034e-06,-8.422281231147923e-11,-1.8258829434383016e-07,6.30611269172739e-12,0
0773.jpg,23671.5,708.8254626989365,0.19181633989327773,0.007545331721303637,0.00027935598799480973,5.9155753590743685e-06,5.2688570561410044e-11,4.4961218001656223e-07,-2.3463450468205545e-10,3
0178.jpg,27223.5,713.2619735002518,0.1864017379617194,0.005825271389380893,0.0008736756729609617,2.3348093574067857e-05,3.298654105437097e-09,1.7709646218420826e-06,-4.88747602134121e-10,3
0410.jpg,27108.0,728.735062122345,0.1762453953130421,0.00245129835697751,0.0004913183837309496,7.159762200958453e-06,1.0570566510521868e-10,1.408703841270569e-07,-4.112815377746828e-10,3
0839.jpg,28344.0,740.1076455116272,0.17586592017358704,0.002822812676002611,0.0004100399485852706,1.2529491292771773e-05,5.696402613077187e-10,3.6438844595081806e-07,-6.94298956772308e-10,3
0015.jpg,22432.0,766.0243848562241,0.2064308973349908,0.0005727723870781931,0.004658383324814997,9.731529810809351e-05,6.294945062822473e-08,9.206552005718246e-07,-1.8180800214034355e-08,3
0558.jpg,37929.5,789.5563489198685,0.17404363506740633,0.002454059629902109,5.897052781194108e-07,2.7493227910185493e-08,-2.9384937758647176e-15,-1.356168976801395e-09,-1.9026884082205768e-15,0
0605.jpg,34395.5,785.0365777015686,0.1794075153648311,0.003968265033370194,0.0002870022944352758,5.913956506381647e-06,2.4195510132549794e-10,3.722425980201947e-07,-2.8657685917361894e-11,0
0585.jpg,32252.5,749.0365777015686,0.17490518324584553,0.003016640018627409,7.909359700995548e-06,3.7146973914591406e-07,5.920332591515904e-13,1.7148742596199546e-08,2.3435586023162384e-13,0
0351.jpg,31103.0,741.9655101299286,0.17588302601565703,0.0025856299361103597,0.00031313944140464237,9.806201044832184e-06,9.577647133581885e-11,2.7806998963184763e-07,5.348934733065796e-10,0
0332.jpg,34997.5,767.9827550649643,0.1721299117426805,0.0026483242453666975,2.4000866961054854e-05,1.674492898850162e-07,-3.3539497312146545e-13,-7.251827478916855e-09,-1.4071302815509374e-14,0
0892.jpg,20630.0,735.3624790906906,0.21754217638445433,0.013284775151517726,0.00237240234756671,0.000180128636235591,-9.903303306417254e-08,-2.0761424293129246e-05,6.370238027134788e-08,5
0556.jpg,34112.5,767.9827550649643,0.1804880658331628,0.0045516533610952155,0.00012345199569928158,8.396877629209715e-07,9.120922164728417e-13,2.1695400201300965e-08,-8.500412636201473e-12,0
0164.jpg,35177.0,761.8822498321533,0.17245935892789108,0.0019219331167890418,6.69462016134056e-05,1.9699028933962736e-06,-1.784678378794282e-11,-5.0268457657920124e-08,1.3901269948597156e-11,0
0737.jpg,38221.0,786.1421352624893,0.1737917619892893,0.0024262834040623773,8.440531816622902e-08,4.87598831749795e-09,9.891731437869518e-17,3.645249349977637e-11,-5.442511039247871e-19,0
0774.jpg,32314.5,769.4385987520218,0.17405584537589777,0.002009437032971836,0.00010882430487991056,9.061024575109314e-06,-1.0495102680614715e-10,-1.4998706856341967e-07,2.644672372265389e-10,0
0027.jpg,19259.5,689.0020879507065,0.21113682713709503,0.007579635993515155,0.005350618448881775,0.0003618507198645481,5.031248162435443e-07,3.145990712961034e-05,-1.933367065244329e-08,5
0143.jpg,32993.0,775.2792184352875,0.16975906123116713,0.0014978002345844986,1.2207316005071628e-05,6.192866966544515e-08,5.38369471998241e-14,-1.914402758033561e-09,9.47819587352764e-16,0
0743.jpg,27268.5,768.2670258283615,0.20253886282650982,0.009231735920884864,0.0005086164649068545,2.692587397847645e-05,-1.9046417474592927e-09,-2.570821080373359e-06,2.510221146355089e-09,3
0432.jpg,19259.5,689.0020879507065,0.21113682713709503,0.007579635993515155,0.005350618448881775,0.0003618507198645481,5.031248162435443e-07,3.145990712961034e-05,-1.933367065244329e-08,5
1057.jpg,27268.5,768.2670258283615,0.20253886282650982,0.009231735920884864,0.0005086164649068545,2.692587397847645e-05,-1.9046417474592927e-09,-2.570821080373359e-06,2.510221146355089e-09,3
1083.jpg,24918.5,716.7766922712326,0.20924592486084276,0.012007743837844292,0.002058639625142516,9.843996019653521e-05,2.3531072549354806e-08,6.03053163061324e-06,3.755098786180943e-08,3
0289.jpg,35177.0,761.8822498321533,0.17245935892789108,0.0019219331167890418,6.69462016134056e-05,1.9699028933962736e-06,-1.784678378794282e-11,-5.0268457657920124e-08,1.3901269948597156e-11,0
