c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100
06-12-2018,2,181.9288875,170.4285362,0.736799493,1.686559949,2.664177628,21.54449767,6.782232466,0.727030081,59.56657088,10.84457452,34.58037315,0,2.174679013,20.2003165,31.137298,34.55851418,13.4701382,7.382430044,9.296663164,5.659629705,46.71004755,0.736799493,1.686559949,492.9374336,104.5286267,44.08405239,288.7857449,14.53882451,83.08234029,50.1436219,-68.61073416,0.191155851,1.621215213,0.070144928,0.33970096,31.92816139,0.402325577,90.0979405,2.290052372,4.189392545,4.071498357,10.24089862,7.366860757,0.08814161,27.07072549,1.861217241,69.10803689,6.93240777,5.88665547,6.461399787,4.021462695,4.629421778,-0.204343439,30.26664593,6.276760928,91.49479643,17.55403168,5.828100963,7.196898245,7.20912463,5.953003124,-0.342119498,38.64042217,16.09788151,90.02604876,36.57781566,170.4285362,10.46986777,9.784625575,18.171185,13.44412252,-0.32162347,5191.594304,127.1710101,44.47210319,1.212902904,1.222017765,1.240630507,1.275167346,25,90.02604876,1.196111676,2.315190662,1.140091345,2.533351597,1.22774039,2.458679825,1.191278449,2.195497974,1.271156394,4.687908616,1.164206757,7.089883387,1.295450572,4.384660902,1.286281091,4.493070386,76.28765493
07-12-2018,2,183.8738086,171.2250825,0.763375121,1.203282507,2.651390863,20.91186879,6.852556783,0.681555918,60.09253722,10.92616786,34.61487399,0,2.220418372,20.75162184,31.44273895,33.70443481,14.13113971,7.467818627,9.428183729,5.606795964,45.46302554,0.763375121,1.203282507,491.865504,104.4486334,43.55562216,288.0479971,14.58342152,84.41062533,50.13915421,-68.58196651,0.190412801,1.528026866,0.071200218,0.191605062,32.3678725,0.400313198,90.19464318,2.298601992,4.223917772,4.099947561,10.22102334,7.344578263,0.08796281,26.46790986,1.840303546,68.15085117,6.907223303,6.065687033,6.471805889,3.833134935,4.578594294,-0.203680614,30.16457104,6.219984272,91.38592938,17.52399395,5.93605389,7.177705841,7.146358189,5.941132134,-0.342502848,38.53625231,16.02430112,89.91829955,36.4779195,171.2250825,10.59705661,9.880910403,18.29567178,13.51740408,-0.324614928,5202.382519,127.962063,43.84294453,1.211515069,1.221501946,1.239720225,1.274625897,25,89.91829955,1.195885956,2.324406136,1.13919001,2.542251558,1.226913142,2.473281734,1.19121148,2.199112229,1.269174558,4.715061368,1.162342337,7.159822622,1.291709535,4.428067584,1.285395071,4.503914749,76.31895386
08-12-2018,2,182.8664214,170.0396724,0.766553999,1.165200104,2.627066521,20.79161004,6.439770803,0.664055308,60.19572014,11.02044263,34.99966531,0,1.855447438,20.92263434,31.5503736,33.34735061,14.57083893,7.649796427,9.462241072,5.323199518,44.46641659,0.766553999,1.165200104,490.4703136,104.5063758,44.40286627,285.5617119,14.40502062,83.0605285,50.19109611,-68.56368104,0.190436736,1.526803376,0.070884509,0.142275555,32.65334239,0.401774225,90.05925472,2.289806997,4.216966794,4.113271181,10.22950217,7.377995468,0.088427749,26.38220981,1.841550571,68.17122037,6.909520312,6.121575576,6.609569956,3.920932286,4.781618617,-0.203533636,30.25979198,6.212912721,90.96665955,17.48280968,6.027904694,7.278104793,7.256563991,6.076417512,-0.341974594,38.60946822,16.03160822,89.67738506,36.37558401,170.0396724,10.61458575,9.811382327,18.18258964,13.49160199,-0.319657683,5175.008749,127.4667199,44.86276293,1.21060729,1.220937848,1.239064932,1.274472117,25,89.67738506,1.194205371,2.315909319,1.139584148,2.541972079,1.225876915,2.470120767,1.189992515,2.192173622,1.267968093,4.731787582,1.162865755,7.140026172,1.290684204,4.440159407,1.284717241,4.512256575,76.31810338
09-12-2018,2,183.6816212,171.0575198,0.788101321,1.197970498,2.632036374,21.06126544,6.386450316,0.658387777,60.30332845,11.09837899,35.24715568,0,1.741177188,20.696919,31.29467609,33.29133031,14.73297033,7.9220289,9.855360795,5.108212867,45.02644481,0.788101321,1.197970498,491.1768732,104.4283043,43.88647682,286.0943369,14.45122023,83.83477402,50.28886147,-68.50920697,0.190712217,1.523601038,0.049374297,0.158136328,32.43499782,0.401940982,90.09974471,2.294908231,4.214330996,4.115571925,10.25591711,7.387096176,0.089024232,26.35071379,1.842997576,68.02118803,6.923323609,6.369912601,6.795367729,3.982717184,5.003507323,-0.203179235,30.22948063,6.243951342,91.19590917,17.54821854,5.952498477,7.272663993,7.295339122,6.034677069,-0.341703752,38.88202859,16.06308097,90.08244341,36.46598483,171.0575198,10.5011259,9.692155705,18.30820133,13.54799682,-0.321202991,5185.274116,127.7169263,44.28268464,1.205658674,1.219629169,1.238260746,1.27403307,25,90.08244341,1.193695224,2.319195195,1.139202856,2.545211062,1.224614397,2.468624771,1.189273918,2.193425786,1.266580332,4.751214473,1.162123686,7.168130176,1.289038289,4.459749236,1.28318386,4.531274703,75.04519881
10-12-2018,2,182.9466108,170.548953,0.769433678,1.049336703,2.630217346,21.03609821,6.400339163,0.658651096,60.23212307,11.17481427,35.26042665,0,1.896475993,20.54873442,30.95885389,32.83398783,14.53922503,8.002700952,10.10190777,4.99180309,45.1265427,0.769433678,1.049336703,491.8144465,104.4703995,44.31314686,286.5150863,14.41209316,82.96508333,50.12034091,-68.59789952,0.190532308,1.515537349,0.073582637,0.090411754,32.29051469,0.402477744,90.03825749,2.297964532,4.20499384,4.097655476,10.28523358,7.391719136,0.089211618,26.42140494,1.850871177,68.33307978,6.933016112,6.205707753,6.760074432,3.939365201,4.886065999,-0.20312323,30.26139305,6.262772644,91.10074849,17.54903518,5.918205233,7.3002877,7.274003886,6.021585454,-0.341554696,39.09729479,16.0942949,90.13828509,36.44107318,170.548953,10.45291488,9.668715083,18.16935467,13.45992165,-0.319562653,5178.159212,127.2746014,44.79162473,1.206067204,1.219804168,1.238533854,1.273978353,25,90.13828509,1.194180188,2.320457107,1.139975547,2.541909243,1.22419058,2.462575544,1.188622253,2.187973839,1.267136491,4.743404711,1.163368746,7.121121839,1.289414509,4.455251784,1.283186216,4.531245318,75.04524731
11-12-2018,2,180.0500686,167.9199548,0.77220877,0.726779868,2.60947846,20.81169356,6.469802517,0.65789456,59.00041901,10.97211221,34.31274297,0,1.600978857,20.59189025,31.78880261,35.04791827,13.58297741,7.403444483,10.22418362,5.267085122,45.34410407,0.77220877,0.726779868,491.7448019,104.4931703,45.10849151,288.3078737,14.62606235,81.33843261,49.65139257,-68.825221,0.190629266,1.486385362,0.050133369,0.368047392,32.22487666,0.401645591,89.94074814,2.276266527,4.183923949,4.086379918,10.28514806,7.389419822,0.090203186,26.68687091,1.856266394,68.88125198,6.93735643,6.158100791,6.70657534,3.979332817,4.718659125,-0.20298318,30.2196606,6.230719934,90.83637447,17.51065049,5.806640826,7.283446529,7.211541037,5.977492926,-0.341423866,38.94789523,16.10848653,89.85093356,36.37368865,167.9199548,10.19455445,9.488287892,17.89352653,13.40104945,-0.318081055,5163.067512,126.4370357,45.3449756,1.206290841,1.219880104,1.238712311,1.274336696,25,89.85093356,1.192947459,2.30667877,1.140794893,2.538923248,1.225120724,2.46797201,1.188321153,2.182231313,1.267564478,4.737416896,1.164653576,7.073357302,1.289908261,4.449367037,1.28387579,4.522667431,75.01576195
12-12-2018,2,178.9674748,167.4542877,0.785968003,0.731393979,2.66248725,21.10164927,6.636454512,0.704813942,59.38472468,11.22850014,31.69542468,0,2.398398984,19.61832316,30.9718421,33.78124269,13.02720403,6.818113868,10.11450437,5.481832149,45.99606895,0.785968003,0.731393979,491.3068951,104.5783574,44.97546066,288.0644018,14.62039086,81.49552493,49.76096771,-68.76862307,0.190883218,1.592455544,0.083120972,0.075155926,32.93253609,0.403089671,90.9608633,2.281648274,4.221106693,4.107127922,10.31362098,7.357009944,0.090401711,26.96450909,1.857266019,69.65328029,6.932743108,6.279379571,6.71671024,3.864390992,4.675772563,-0.203121437,30.14980656,5.988437347,91.16920843,17.52007015,5.832820544,7.201692712,7.136098327,5.921964873,-0.341745201,38.63035995,16.11740804,89.85016432,36.44783945,167.4542877,10.28677357,9.584296957,18.10618191,13.48768481,-0.319877221,5188.220935,126.4761805,45.21918869,1.207472563,1.221478105,1.238910079,1.275241494,25,89.85016432,1.194170026,2.308106757,1.14231274,2.536645959,1.226452895,2.551499692,1.194371631,2.185419692,1.269283482,4.713558641,1.166779848,6.995928246,1.278649581,4.588736784,1.293981859,4.40157044,74.99017081
13-12-2018,2,175.5419983,165.1469036,0.821334591,0.726584478,2.653900779,20.99744916,6.522346879,0.714967271,59.60688003,11.01625536,31.75528581,0,4.409268157,18.39604651,29.48973318,33.92771127,12.07596686,6.471027461,10.02027236,5.99032321,48.10308632,0.821334591,0.726584478,491.8652096,104.6117696,46.35164064,288.8891908,14.61476327,79.02903262,49.85916284,-68.72667973,0.19055201,1.575489097,0.125960728,0.028969665,32.65236291,0.402633044,91.04086142,2.284599741,4.209065895,4.109612935,10.36563055,7.340475217,0.090326936,27.42043078,1.875803171,71.09857739,6.953405228,6.489121087,7.029454869,3.904401339,4.99635234,-0.203461117,30.20565812,6.106831529,91.02639832,17.54762635,5.914149575,7.203282484,7.126379842,5.970267474,-0.342374714,38.62217392,16.184009,89.62433354,36.41983879,165.1469036,9.881803764,9.358150243,17.85412899,13.34714941,-0.316867998,5174.733325,125.3790806,46.63707484,1.208203197,1.221199751,1.239524841,1.275584102,25,89.62433354,1.195085604,2.310896754,1.145390067,2.528301004,1.225332755,2.514350467,1.188588063,2.175339444,1.270265389,4.700066822,1.171438314,6.833001848,1.282709879,4.537195109,1.285838484,4.498479237,74.99373839
14-12-2018,2,178.4505624,167.2823506,0.806892714,0.76653938,2.632678101,20.94992932,6.260482077,0.652292155,59.31102141,11.18042104,34.31449102,0,1.286068258,20.08565514,32.79645315,38.00563619,12.3228347,6.349359915,9.805344157,6.821988292,47.63319727,0.806892714,0.76653938,491.1867331,104.4770779,44.92735996,288.0588058,14.60595706,81.30792469,50.19580569,-68.5758109,0.190227088,1.438811082,0.157722521,0.190121018,33.06709055,0.405512695,90.99168882,2.292203606,4.192340187,4.11886299,10.31062003,7.337147255,0.090264193,27.27232775,1.867176753,69.68115823,6.948016158,6.590118508,6.972933696,3.931323938,4.985645178,-0.202628194,30.13323121,6.192099328,90.99464234,17.51075936,5.960808502,7.23358153,7.167248817,6.037436055,-0.342968305,38.71138743,16.11933731,89.7965142,36.37828897,167.2823506,10.12554068,9.446498505,17.86278737,13.37954828,-0.318289016,5169.464978,126.238693,45.19363863,1.206244946,1.220297098,1.239390612,1.275129557,25,89.7965142,1.193422265,2.311556664,1.141234561,2.533513763,1.225091824,2.480737519,1.188769487,2.181119009,1.267472492,4.738702228,1.165656672,7.03658149,1.28774523,4.47529653,1.284912213,4.509853055,75.02279612
15-12-2018,2,179.2372102,168.0074113,0.80633343,0.953086371,2.650594126,20.97661151,6.520133596,0.668697681,59.28833613,10.90922299,33.75698217,0,1.49058595,20.13992701,32.32023293,37.32092855,12.51315461,6.453106127,9.630571944,6.726421547,47.60811938,0.80633343,0.953086371,493.2906965,104.3992007,44.25744152,288.9760003,14.52802319,81.80880658,50.11218808,-68.60424931,0.19049061,1.452770865,0.069529404,0.365925199,32.43305403,0.403329312,90.93544639,2.275927542,4.19447602,4.103544092,10.35032131,7.379400158,0.091720023,27.09804459,1.866006765,69.82425643,6.96126795,6.764597367,7.017011857,4.034975782,4.945766165,-0.202021012,30.07121256,6.175046587,91.12418794,17.55034727,5.952681776,7.231072018,7.218666204,6.161183873,-0.341561916,38.62989489,16.13755305,89.87832149,36.42757958,168.0074113,10.2546245,9.554379831,18.09657316,13.41138208,-0.319079391,5179.066663,126.0571639,44.66574243,1.207196236,1.220744371,1.239519477,1.275288701,25,89.87832149,1.196111116,2.303738784,1.142374176,2.538663314,1.22648676,2.491717778,1.189092327,2.181675771,1.273206843,4.66023043,1.166692394,6.999073964,1.288019817,4.471983321,1.285367284,4.504255943,73.98552131
16-12-2018,2,180.8036476,169.5217504,0.787274321,0.965284592,2.675940751,21.23723005,6.528054679,0.683086573,59.70791529,10.84409919,34.13144903,0,1.635111173,20.31626608,32.18913928,37.28558872,12.57719581,6.51520537,9.597427258,6.715400545,47.73322955,0.787274321,0.965284592,494.071384,104.5998181,44.03736426,289.1916827,14.47445658,82.96592014,50.34998843,-68.50857562,0.190752727,1.472073026,0.110456823,0.400164943,32.17519591,0.40265029,91.16888505,2.283982941,4.212656254,4.123250895,10.38114933,7.377754291,0.092045648,27.03469369,1.861298335,69.4007624,6.969007159,6.927246151,6.970183789,4.077181353,4.809732409,-0.202179973,30.05753666,6.222487112,91.50136907,17.58121699,5.83362317,7.21268137,7.135542454,6.041194377,-0.340055273,38.65886883,16.14714757,90.14941678,36.54344411,169.5217504,10.40693116,9.66482323,18.24591215,13.36596847,-0.322188942,5201.034251,126.9994328,44.52436229,1.207504153,1.220742226,1.239764094,1.275277615,25,90.14941678,1.197088771,2.310439363,1.141203899,2.544926183,1.22723625,2.480081134,1.189726314,2.187201475,1.273582115,4.655209698,1.164689291,7.072040224,1.291054659,4.43578077,1.285306973,4.504996706,73.99768315
17-12-2018,2,181.1873139,169.8147027,0.78529248,1.243196158,2.715964668,21.38039776,6.487041804,0.689094799,60.26001356,11.02824406,34.086654,0,1.624812561,20.27604984,32.33484404,37.11166726,12.49899793,6.668227602,9.668611495,6.60033695,47.68499227,0.78529248,1.243196158,492.8710893,104.5011084,43.99084407,287.7061758,14.4346145,83.29817648,50.37637431,-68.46291276,0.191328029,1.510170032,0.058724223,0.294701641,32.09177612,0.403220462,91.24067249,2.291603326,4.210512,4.142250218,10.37249418,7.380166841,0.091581103,27.06533541,1.861682026,69.46335511,6.975500241,7.556827194,7.236406019,4.478515908,4.769999229,-0.202794182,30.02750451,6.231520403,91.53287895,17.59839738,5.8292976,7.217885172,7.1148183,5.987944588,-0.340326577,38.55900793,16.14678302,90.08168655,36.54294006,169.8147027,10.40356092,9.688832295,18.34569812,13.37889957,-0.322530565,5207.518071,127.2840294,44.48846584,1.207952261,1.221066356,1.240056634,1.275447011,25,90.08168655,1.197948682,2.31482799,1.14129596,2.546680452,1.227443581,2.479386092,1.189935668,2.187218548,1.274182305,4.647208374,1.164664955,7.072937628,1.29148089,4.430756643,1.285674829,4.500483415,74.00295375
